GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
Skul: The Hero Slayer,6.0,20.337,1.3,1.5,3.3,2022-02-10,5996,1000
FIFA 21 (Xbox One),2.8,71.742,0.5,175.0,3.3,2021-05-06,2802,1000
Olija,1.83,4.38,14.2,4.5,3.3,2022-01-04,1830,1000
Besiege Console,3.9,10.852,3.6,7.0,3.3,2022-02-10,3896,1000
NBA LIVE 19,5.71,29.473,0.1,,3.3,2020-11-09,5714,1000
Double Dragon Neon,6.6,36.824,0.6,22.5,3.3,2019-12-16,2640,400
EA SPORTS Rory McIlroy PGA TOUR,2.99,68.686,2.3,27.5,3.3,2020-11-09,2994,1000
FIFA 21,3.45,38.89,0.5,250.0,3.3,2021-05-06,3447,1000
Banjo-Kazooie: Nuts Bolts,2.99,116.819,1.4,32.5,3.3,2020-04-28,3735,1250
DIRT 5,2.45,70.96,1.7,17.5,3.3,2021-02-24,4414,1800
Wolfenstein: Youngblood,2.76,57.467,3.4,55.0,3.3,2020-02-06,2760,1000
Lawn Mowing Simulator,5.54,33.974,0.1,70.0,3.3,2021-12-02,7706,1390
Descenders,12.95,89.907,0.1,55.0,3.3,2019-12-16,19426,1500
Astria Ascending,7.28,8.446,0.4,,3.3,2021-09-18,7282,1000
Need for Speed Rivals,3.4,156.431,2.3,45.0,3.3,2020-11-09,3401,1000
We Happy Few,5.01,104.309,0.4,45.0,3.3,2020-10-21,7717,1540
Anthem,2.7,138.608,1.5,70.0,3.3,2020-11-09,2701,1000
Grand Theft Auto: San Andreas – The Definitive Edition,4.19,122.455,2.2,55.0,3.3,2021-11-20,4189,1000
The Bard's Tale IV: Director's Cut,4.47,13.64,0.8,55.0,3.3,2019-12-16,4466,1000
Fe,2.81,20.917,5.7,11.0,3.3,2020-11-09,2814,1000
Halo: Spartan Assault,3.5,154.721,2.5,22.5,3.3,2019-12-16,3499,1000
FIFA 20,3.25,93.669,0.3,175.0,3.3,2020-11-09,3248,1000
Feeding Frenzy 2: Shipwreck Showdown,1.71,41.431,15.8,9.0,3.2,2020-11-09,342,200
Fallout 76,2.79,179.272,0.7,90.0,3.2,2020-07-09,3659,1310
Serious Sam 4,3.25,39.947,3.9,9.0,3.2,2021-12-07,3249,1000
Generation Zero,3.4,60.442,0.6,45.0,3.2,2021-11-30,4730,1390
Recompile,3.38,7.808,6.1,7.0,3.2,2021-08-17,3378,1000
Joy Ride Turbo,2.92,54.953,3.6,9.0,3.2,2020-10-21,585,200
ARK: Survival Evolved,2.15,162.516,9.2,1.5,3.2,2022-03-03,3226,1500
Madden NFL 21,2.52,22.414,3.0,9.0,3.2,2021-03-02,2515,1000
Embr,4.15,18.501,1.7,22.5,3.2,2022-01-06,4152,1000
Lake,1.28,14.544,40.6,7.0,3.2,2021-12-15,1280,1000
Craftopia,2.91,43.789,2.0,27.5,3.2,2021-09-01,2908,1000
Edge of Eternity,7.59,14.114,0.0,,3.2,2022-01-31,7589,1000
theHunter: Call of the Wild,7.55,127.983,0.0,135.0,3.2,2019-12-16,28173,3730
Heavy Weapon,2.81,68.766,3.1,9.0,3.2,2020-11-09,561,200
Crown Trick,5.5,12.253,0.0,,3.2,2021-09-03,5498,1000
Rocket Arena,5.65,23.636,0.9,55.0,3.1,2020-11-09,5649,1000
A Memoir Blue,1.17,12.819,62.6,1.5,3.1,2022-03-24,1167,1000
Kameo: Elements of Power,3.71,119.215,0.3,22.5,3.1,2019-12-16,3710,1000
Medal of Honor: Airborne,3.9,125.854,0.4,45.0,3.1,2020-11-09,3897,1000
Second Extinction,4.47,75.606,1.1,27.5,3.1,2021-04-10,4473,1000
Zuma,4.4,55.95,0.6,55.0,3.1,2020-11-09,880,200
Rubber Bandits,1.8,32.058,10.7,1.5,3.1,2021-12-02,1799,1000
